Entity,Year,CO2 concentration - Region: global,CO2 concentration - Region: global (Annotations)
SSP1 - 1.9,2005,379.85,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,390.5053,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,412.14203,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,424.68152,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,425.52722,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,420.4756,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,413.8763,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,406.7838,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,398.62848,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,389.0571,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,377.8966,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,379.85,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,390.5053,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,414.5497,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,436.54257,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,452.2906,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,460.69293,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,462.90222,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,460.64246,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,453.86206,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,443.09073,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,432.17145,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,379.85,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,390.5053,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,415.14108,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,440.29617,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,463.85944,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,484.02374,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,499.883,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,510.17355,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,512.5219,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,505.94104,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,494.1748,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,379.85,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,390.5053,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,415.24664,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,441.26874,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,467.45898,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,492.67368,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,516.06287,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,536.3393,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,551.1038,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,559.82806,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,563.6224,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,379.85,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,390.5053,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,415.34735,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,442.30164,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,470.47845,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,498.17383,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,524.97614,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,550.82837,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,573.5107,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,592.2589,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,608.35425,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,379.85,Middle of the Road
SSP2 - 1.9,2010,390.5053,Middle of the Road
SSP2 - 1.9,2020,414.0699,Middle of the Road
SSP2 - 1.9,2030,429.84384,Middle of the Road
SSP2 - 1.9,2040,433.50085,Middle of the Road
SSP2 - 1.9,2050,430.85544,Middle of the Road
SSP2 - 1.9,2060,424.58502,Middle of the Road
SSP2 - 1.9,2070,415.42993,Middle of the Road
SSP2 - 1.9,2080,404.04504,Middle of the Road
SSP2 - 1.9,2090,391.99628,Middle of the Road
SSP2 - 1.9,2100,380.6867,Middle of the Road
SSP2 - 2.6,2005,379.85,Middle of the Road
SSP2 - 2.6,2010,390.5053,Middle of the Road
SSP2 - 2.6,2020,413.94843,Middle of the Road
SSP2 - 2.6,2030,434.80582,Middle of the Road
SSP2 - 2.6,2040,449.92435,Middle of the Road
SSP2 - 2.6,2050,458.165,Middle of the Road
SSP2 - 2.6,2060,459.93488,Middle of the Road
SSP2 - 2.6,2070,456.46628,Middle of the Road
SSP2 - 2.6,2080,448.56287,Middle of the Road
SSP2 - 2.6,2090,438.79877,Middle of the Road
SSP2 - 2.6,2100,429.04846,Middle of the Road
SSP2 - 3.4,2005,379.85,Middle of the Road
SSP2 - 3.4,2010,390.5053,Middle of the Road
SSP2 - 3.4,2020,414.43857,Middle of the Road
SSP2 - 3.4,2030,439.28268,Middle of the Road
SSP2 - 3.4,2040,463.04535,Middle of the Road
SSP2 - 3.4,2050,483.2405,Middle of the Road
SSP2 - 3.4,2060,497.49075,Middle of the Road
SSP2 - 3.4,2070,504.2789,Middle of the Road
SSP2 - 3.4,2080,504.77832,Middle of the Road
SSP2 - 3.4,2090,500.7113,Middle of the Road
SSP2 - 3.4,2100,494.15005,Middle of the Road
SSP2 - 4.5,2005,379.85,Middle of the Road
SSP2 - 4.5,2010,390.5053,Middle of the Road
SSP2 - 4.5,2020,414.72296,Middle of the Road
SSP2 - 4.5,2030,440.92053,Middle of the Road
SSP2 - 4.5,2040,468.53036,Middle of the Road
SSP2 - 4.5,2050,496.06613,Middle of the Road
SSP2 - 4.5,2060,521.32355,Middle of the Road
SSP2 - 4.5,2070,542.5851,Middle of the Road
SSP2 - 4.5,2080,558.1323,Middle of the Road
SSP2 - 4.5,2090,565.6875,Middle of the Road
SSP2 - 4.5,2100,566.85913,Middle of the Road
SSP2 - 6.0,2005,379.85,Middle of the Road
SSP2 - 6.0,2010,390.5053,Middle of the Road
