Entity,Year,Temperature - Region: global,Temperature - Region: global (Annotations)
SSP1 - 1.9,2005,0.9133863,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,0.98936164,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,1.2371159,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,1.466178,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,1.5578765,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,1.5622194,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,1.5283713,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,1.4927099,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,1.4558804,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,1.4104881,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,1.3448526,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,0.9133863,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,0.9886296,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,1.218161,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,1.472536,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,1.6545538,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,1.759317,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,1.811741,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,1.8352149,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,1.8347512,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,1.8036412,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,1.7610809,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,0.9133863,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,0.9884623,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,1.221132,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,1.4926113,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,1.7144071,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,1.8991995,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,2.0395305,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,2.150535,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,2.2198174,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,2.2308023,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,2.1931071,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,0.9133863,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,0.9884512,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,1.2215506,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,1.4947785,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,1.7255892,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,1.9364665,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,2.137401,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,2.3253982,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,2.4769983,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,2.5853348,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,2.6527424,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,0.9133863,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,0.9884407,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,1.2228345,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,1.5057858,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,1.7707427,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,2.0220566,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,2.2464108,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,2.4603503,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,2.668723,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,2.8562114,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,3.0177362,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,0.9133863,Middle of the Road
SSP2 - 1.9,2010,0.989048,Middle of the Road
SSP2 - 1.9,2020,1.2414339,Middle of the Road
SSP2 - 1.9,2030,1.5022073,Middle of the Road
SSP2 - 1.9,2040,1.627379,Middle of the Road
SSP2 - 1.9,2050,1.6447603,Middle of the Road
SSP2 - 1.9,2060,1.6167485,Middle of the Road
SSP2 - 1.9,2070,1.569317,Middle of the Road
SSP2 - 1.9,2080,1.503767,Middle of the Road
SSP2 - 1.9,2090,1.424558,Middle of the Road
SSP2 - 1.9,2100,1.3368769,Middle of the Road
SSP2 - 2.6,2005,0.9133863,Middle of the Road
SSP2 - 2.6,2010,0.9890734,Middle of the Road
SSP2 - 2.6,2020,1.2412716,Middle of the Road
SSP2 - 2.6,2030,1.4924332,Middle of the Road
SSP2 - 2.6,2040,1.6967989,Middle of the Road
SSP2 - 2.6,2050,1.809846,Middle of the Road
SSP2 - 2.6,2060,1.8532355,Middle of the Road
SSP2 - 2.6,2070,1.8615285,Middle of the Road
SSP2 - 2.6,2080,1.8444341,Middle of the Road
SSP2 - 2.6,2090,1.8070194,Middle of the Road
SSP2 - 2.6,2100,1.7546334,Middle of the Road
SSP2 - 3.4,2005,0.9133863,Middle of the Road
SSP2 - 3.4,2010,0.98904943,Middle of the Road
SSP2 - 3.4,2020,1.2420732,Middle of the Road
SSP2 - 3.4,2030,1.4923677,Middle of the Road
SSP2 - 3.4,2040,1.7374785,Middle of the Road
SSP2 - 3.4,2050,1.9187555,Middle of the Road
SSP2 - 3.4,2060,2.0505319,Middle of the Road
SSP2 - 3.4,2070,2.1442702,Middle of the Road
SSP2 - 3.4,2080,2.200498,Middle of the Road
SSP2 - 3.4,2090,2.2207682,Middle of the Road
SSP2 - 3.4,2100,2.2124152,Middle of the Road
SSP2 - 4.5,2005,0.9133863,Middle of the Road
SSP2 - 4.5,2010,0.9890273,Middle of the Road
SSP2 - 4.5,2020,1.2422663,Middle of the Road
SSP2 - 4.5,2030,1.4859884,Middle of the Road
SSP2 - 4.5,2040,1.7431921,Middle of the Road
SSP2 - 4.5,2050,1.9664936,Middle of the Road
SSP2 - 4.5,2060,2.1541524,Middle of the Road
SSP2 - 4.5,2070,2.3176377,Middle of the Road
SSP2 - 4.5,2080,2.4586263,Middle of the Road
SSP2 - 4.5,2090,2.5667236,Middle of the Road
SSP2 - 4.5,2100,2.6290865,Middle of the Road
SSP2 - 6.0,2005,0.9133863,Middle of the Road
SSP2 - 6.0,2010,0.9890179,Middle of the Road
SSP2 - 6.0,2020,1.2423028,Middle of the Road
SSP2 - 6.0,2030,1.4818519,Middle of the Road
SSP2 - 6.0,2040,1.754337,Middle of the Road
SSP2 - 6.0,2050,2.025425,Middle of the Road
SSP2 - 6.0,2060,2.2866025,Middle of the Road
SSP2 - 6.0,2070,2.5453646,Middle of the Road
SSP2 - 6.0,2080,2.7860186,Middle of the Road
SSP2 - 6.0,2090,3.0114555,Middle of the Road
SSP2 - 6.0,2100,3.2293391,Middle of the Road
SSP2 - Baseline,2005,0.9133863,Middle of the Road
SSP2 - Baseline,2010,0.98897696,Middle of the Road
SSP2 - Baseline,2020,1.241407,Middle of the Road
SSP2 - Baseline,2030,1.48262,Middle of the Road
SSP2 - Baseline,2040,1.7615026,Middle of the Road
SSP2 - Baseline,2050,2.0528054,Middle of the Road
SSP2 - Baseline,2060,2.3562636,Middle of the Road
SSP2 - Baseline,2070,2.6813345,Middle of the Road
SSP2 - Baseline,2080,3.0231543,Middle of the Road
SSP2 - Baseline,2090,3.3879569,Middle of the Road
SSP2 - Baseline,2100,3.7632897,Middle of the Road
SSP3 - 3.4,2005,0.9133863,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,0.98830736,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,1.2291214,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,1.5159489,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,1.8288287,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,1.9896562,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,2.0797596,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,2.146508,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,2.1888855,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,2.2108872,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,2.2113109,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,0.9133863,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,0.98830736,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,1.2303339,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,1.5220741,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,1.8412465,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,2.0625796,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,2.2365355,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,2.362402,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,2.4658277,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,2.5540428,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,2.6174028,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,0.9133863,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,0.98830736,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,1.2307929,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,1.5241798,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,1.844651,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,2.099352,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,2.3332732,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,2.5809205,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,2.8066485,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,3.0052812,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,3.1835914,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,0.9133863,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,0.98805493,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,1.2257526,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,1.5238091,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,1.8641922,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,2.2025094,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,2.5509324,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,2.9115188,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,3.2843482,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,3.6724231,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,4.0710998,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,0.98868006,Inequality - A Road Divided
SSP4 - 2.6,2020,1.2326844,Inequality - A Road Divided
SSP4 - 2.6,2030,1.507354,Inequality - A Road Divided
SSP4 - 2.6,2040,1.6867304,Inequality - A Road Divided
SSP4 - 2.6,2050,1.7943009,Inequality - A Road Divided
SSP4 - 2.6,2060,1.8650451,Inequality - A Road Divided
SSP4 - 2.6,2070,1.9096378,Inequality - A Road Divided
SSP4 - 2.6,2080,1.9284775,Inequality - A Road Divided
SSP4 - 2.6,2090,1.8927146,Inequality - A Road Divided
SSP4 - 2.6,2100,1.7993968,Inequality - A Road Divided
SSP4 - 3.4,2010,0.98868006,Inequality - A Road Divided
SSP4 - 3.4,2020,1.2315853,Inequality - A Road Divided
SSP4 - 3.4,2030,1.4839019,Inequality - A Road Divided
SSP4 - 3.4,2040,1.7127025,Inequality - A Road Divided
SSP4 - 3.4,2050,1.895201,Inequality - A Road Divided
SSP4 - 3.4,2060,2.0198212,Inequality - A Road Divided
SSP4 - 3.4,2070,2.1101048,Inequality - A Road Divided
SSP4 - 3.4,2080,2.17456,Inequality - A Road Divided
SSP4 - 3.4,2090,2.2067423,Inequality - A Road Divided
SSP4 - 3.4,2100,2.1860478,Inequality - A Road Divided
SSP4 - 4.5,2010,0.98868006,Inequality - A Road Divided
SSP4 - 4.5,2020,1.231278,Inequality - A Road Divided
SSP4 - 4.5,2030,1.4808639,Inequality - A Road Divided
SSP4 - 4.5,2040,1.7222193,Inequality - A Road Divided
SSP4 - 4.5,2050,1.9412544,Inequality - A Road Divided
SSP4 - 4.5,2060,2.1174078,Inequality - A Road Divided
SSP4 - 4.5,2070,2.250108,Inequality - A Road Divided
SSP4 - 4.5,2080,2.3652296,Inequality - A Road Divided
SSP4 - 4.5,2090,2.450691,Inequality - A Road Divided
