Entity,Year,GDP per capita - Region: global,GDP per capita - Region: global (Annotations)
SSP1 - 1.9,2005,8790.668,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,9890.766,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,13439.003,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,19332.176,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,26606.486,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,34148.223,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,41955.254,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,50523.402,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,59670.652,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,69886.03,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,81257.625,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,8790.668,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,9890.766,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,13439.003,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,19332.176,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,26606.486,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,34148.223,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,41955.254,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,50523.402,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,59670.652,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,69886.03,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,81257.625,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,8790.668,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,9890.766,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,13439.003,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,19332.176,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,26606.486,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,34148.223,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,41955.254,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,50523.402,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,59670.652,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,69886.03,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,81257.625,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,8790.668,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,9890.766,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,13439.003,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,19332.176,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,26606.486,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,34148.223,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,41955.254,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,50523.402,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,59670.652,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,69886.03,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,81257.625,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,8790.668,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,9890.766,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,13439.003,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,19332.176,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,26606.486,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,34148.223,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,41955.254,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,50523.402,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,59670.652,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,69886.03,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,81257.625,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,8693.168,Middle of the Road
SSP2 - 1.9,2010,9829.892,Middle of the Road
SSP2 - 1.9,2020,13256.351,Middle of the Road
SSP2 - 1.9,2030,17087.469,Middle of the Road
SSP2 - 1.9,2040,20595.873,Middle of the Road
SSP2 - 1.9,2050,24349.113,Middle of the Road
SSP2 - 1.9,2060,28659.244,Middle of the Road
SSP2 - 1.9,2070,33973.31,Middle of the Road
SSP2 - 1.9,2080,40183.39,Middle of the Road
SSP2 - 1.9,2090,47372.05,Middle of the Road
SSP2 - 1.9,2100,55863.777,Middle of the Road
SSP2 - 2.6,2005,8693.168,Middle of the Road
SSP2 - 2.6,2010,9831.668,Middle of the Road
SSP2 - 2.6,2020,13280.539,Middle of the Road
SSP2 - 2.6,2030,17243.158,Middle of the Road
SSP2 - 2.6,2040,20992.51,Middle of the Road
SSP2 - 2.6,2050,24922.56,Middle of the Road
SSP2 - 2.6,2060,29466.686,Middle of the Road
SSP2 - 2.6,2070,34987.387,Middle of the Road
SSP2 - 2.6,2080,41463.49,Middle of the Road
SSP2 - 2.6,2090,49101.348,Middle of the Road
SSP2 - 2.6,2100,58093.555,Middle of the Road
SSP2 - 3.4,2005,8693.168,Middle of the Road
SSP2 - 3.4,2010,9832.498,Middle of the Road
SSP2 - 3.4,2020,13290.668,Middle of the Road
SSP2 - 3.4,2030,17295.13,Middle of the Road
SSP2 - 3.4,2040,21097.857,Middle of the Road
SSP2 - 3.4,2050,25104.574,Middle of the Road
SSP2 - 3.4,2060,29688.43,Middle of the Road
SSP2 - 3.4,2070,35337.86,Middle of the Road
SSP2 - 3.4,2080,41933.38,Middle of the Road
SSP2 - 3.4,2090,49697.793,Middle of the Road
SSP2 - 3.4,2100,58890.664,Middle of the Road
SSP2 - 4.5,2005,8693.168,Middle of the Road
SSP2 - 4.5,2010,9832.6875,Middle of the Road
SSP2 - 4.5,2020,13297.251,Middle of the Road
SSP2 - 4.5,2030,17310.455,Middle of the Road
SSP2 - 4.5,2040,21137.414,Middle of the Road
SSP2 - 4.5,2050,25174.896,Middle of the Road
SSP2 - 4.5,2060,29810.926,Middle of the Road
SSP2 - 4.5,2070,35497.945,Middle of the Road
SSP2 - 4.5,2080,42145.926,Middle of the Road
SSP2 - 4.5,2090,49988.707,Middle of the Road
SSP2 - 4.5,2100,59259.402,Middle of the Road
SSP2 - 6.0,2005,8693.168,Middle of the Road
SSP2 - 6.0,2010,9833.081,Middle of the Road
SSP2 - 6.0,2020,13300.457,Middle of the Road
SSP2 - 6.0,2030,17313.395,Middle of the Road
SSP2 - 6.0,2040,21154.52,Middle of the Road
SSP2 - 6.0,2050,25215.992,Middle of the Road
SSP2 - 6.0,2060,29871.877,Middle of the Road
SSP2 - 6.0,2070,35598.113,Middle of the Road
SSP2 - 6.0,2080,42312.35,Middle of the Road
SSP2 - 6.0,2090,50267.8,Middle of the Road
SSP2 - 6.0,2100,59608.047,Middle of the Road
SSP2 - Baseline,2005,8693.168,Middle of the Road
SSP2 - Baseline,2010,9833.256,Middle of the Road
SSP2 - Baseline,2020,13301.954,Middle of the Road
SSP2 - Baseline,2030,17316.615,Middle of the Road
SSP2 - Baseline,2040,21162.178,Middle of the Road
SSP2 - Baseline,2050,25226.025,Middle of the Road
SSP2 - Baseline,2060,29890.715,Middle of the Road
SSP2 - Baseline,2070,35619.41,Middle of the Road
SSP2 - Baseline,2080,42360.707,Middle of the Road
SSP2 - Baseline,2090,50340.29,Middle of the Road
SSP2 - Baseline,2100,59710.73,Middle of the Road
SSP3 - 3.4,2005,8431.4,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,9420.345,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,12652.988,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,15275.348,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,16242.241,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,16718.17,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,17059.941,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,17519.24,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,18004.773,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,18511.781,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,19205.895,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,8431.4,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,9420.345,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,12652.988,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,15293.904,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2040,16482.918,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2050,17044.568,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2060,17322.18,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2070,17897.658,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2080,18538.322,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2090,19167.936,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2100,19867.219,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2005,8431.4,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2010,9420.345,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2020,12652.988,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2030,15295.079,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2040,16567.176,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2050,17224.238,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2060,17723.15,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2070,18357.12,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2080,19026.742,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2090,19785.934,Regional Rivalry - A Rocky Road
SSP3 - 6.0,2100,20724.262,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2005,8431.4,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2010,9421.016,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2020,12659.112,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2030,15315.632,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2040,16697.994,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2050,17440.164,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2060,17975.932,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2070,18700.096,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2080,19489.89,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2090,20362.15,Regional Rivalry - A Rocky Road
SSP3 - Baseline,2100,21415.38,Regional Rivalry - A Rocky Road
SSP4 - 2.6,2010,9706.811,Inequality - A Road Divided
SSP4 - 2.6,2020,13091.204,Inequality - A Road Divided
SSP4 - 2.6,2030,17134.426,Inequality - A Road Divided
SSP4 - 2.6,2040,20809.396,Inequality - A Road Divided
SSP4 - 2.6,2050,23945.28,Inequality - A Road Divided
SSP4 - 2.6,2060,26820.643,Inequality - A Road Divided
SSP4 - 2.6,2070,29732.639,Inequality - A Road Divided
SSP4 - 2.6,2080,32446.684,Inequality - A Road Divided
SSP4 - 2.6,2090,35121.668,Inequality - A Road Divided
SSP4 - 2.6,2100,37893.188,Inequality - A Road Divided
SSP4 - 3.4,2010,9706.811,Inequality - A Road Divided
SSP4 - 3.4,2020,13089.16,Inequality - A Road Divided
SSP4 - 3.4,2030,17103.953,Inequality - A Road Divided
SSP4 - 3.4,2040,20811.18,Inequality - A Road Divided
SSP4 - 3.4,2050,23955.953,Inequality - A Road Divided
SSP4 - 3.4,2060,26833.111,Inequality - A Road Divided
SSP4 - 3.4,2070,29747.957,Inequality - A Road Divided
SSP4 - 3.4,2080,32453.256,Inequality - A Road Divided
SSP4 - 3.4,2090,35137.434,Inequality - A Road Divided
SSP4 - 3.4,2100,37890.074,Inequality - A Road Divided
SSP4 - 4.5,2010,9706.811,Inequality - A Road Divided
SSP4 - 4.5,2020,13089.16,Inequality - A Road Divided
SSP4 - 4.5,2030,17103.953,Inequality - A Road Divided
SSP4 - 4.5,2040,20811.18,Inequality - A Road Divided
SSP4 - 4.5,2050,23955.953,Inequality - A Road Divided
SSP4 - 4.5,2060,26833.111,Inequality - A Road Divided
SSP4 - 4.5,2070,29747.957,Inequality - A Road Divided
SSP4 - 4.5,2080,32453.256,Inequality - A Road Divided
SSP4 - 4.5,2090,35137.434,Inequality - A Road Divided
SSP4 - 4.5,2100,37890.074,Inequality - A Road Divided
SSP4 - 6.0,2010,9706.811,Inequality - A Road Divided
SSP4 - 6.0,2020,13089.16,Inequality - A Road Divided
SSP4 - 6.0,2030,17103.953,Inequality - A Road Divided
SSP4 - 6.0,2040,20811.18,Inequality - A Road Divided
SSP4 - 6.0,2050,23955.953,Inequality - A Road Divided
SSP4 - 6.0,2060,26833.111,Inequality - A Road Divided
SSP4 - 6.0,2070,29747.957,Inequality - A Road Divided
SSP4 - 6.0,2080,32453.256,Inequality - A Road Divided
SSP4 - 6.0,2090,35137.434,Inequality - A Road Divided
SSP4 - 6.0,2100,37890.074,Inequality - A Road Divided
SSP4 - Baseline,2005,8716.303,Inequality - A Road Divided
SSP4 - Baseline,2010,9706.811,Inequality - A Road Divided
SSP4 - Baseline,2020,13089.16,Inequality - A Road Divided
SSP4 - Baseline,2030,17103.953,Inequality - A Road Divided
SSP4 - Baseline,2040,20811.18,Inequality - A Road Divided
SSP4 - Baseline,2050,23955.953,Inequality - A Road Divided
SSP4 - Baseline,2060,26833.111,Inequality - A Road Divided
SSP4 - Baseline,2070,29747.957,Inequality - A Road Divided
SSP4 - Baseline,2080,32453.256,Inequality - A Road Divided
SSP4 - Baseline,2090,35137.434,Inequality - A Road Divided
SSP4 - Baseline,2100,37890.074,Inequality - A Road Divided
SSP5 - 1.9,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2020,13493.114,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2030,20213.559,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2040,29346.662,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2050,39445.156,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2060,51298.17,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2070,66217.336,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2080,83719.516,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2090,104584.34,Fossil-fueled Development - Taking the Highway
SSP5 - 1.9,2100,130183.055,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2005,8714.835,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2010,9801.276,Fossil-fueled Development - Taking the Highway
SSP5 - 2.6,2020,13493.114,Fossil-fueled Development - Taking the Highway
