Entity,Year,CO2 emissions per capita - Region: global,CO2 emissions per capita - Region: global (Annotations)
SSP1 - 1.9,2005,5.078605,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,5.1271114,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,4.3833604,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,2.2287405,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,0.7645879,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,0.11347943,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,-0.19429633,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,-0.49848762,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,-0.92504674,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,-1.4070663,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,-2.0610013,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,5.078605,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,5.1271105,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,5.067219,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,4.2087803,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,3.0880284,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,2.0787685,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,1.2441815,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,0.5766081,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,-0.366725,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,-1.0782732,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,-1.1996785,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,5.078605,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,5.12711,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,5.232081,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,4.881134,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,4.4634852,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,3.8622901,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,3.2919223,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,2.3874443,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,1.1450894,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,-0.30296943,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,-0.95077163,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,5.078605,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,5.12711,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,5.261294,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,5.080428,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,4.9469275,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,4.691515,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,4.44347,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,3.8948302,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,3.069469,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,2.3044772,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,1.5922772,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,5.078605,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,5.12711,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,5.288866,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,5.2906923,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,5.218707,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,4.9768195,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,4.898854,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,4.7256017,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,4.191122,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,3.8104773,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,3.5373604,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,5.8075485,Middle of the Road
SSP2 - 1.9,2010,5.87028,Middle of the Road
