Entity,Year,Radiative forcing - Region: global,Radiative forcing - Region: global (Annotations)
SSP1 - 1.9,2005,1.8709164,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,2.1394584,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,2.582151,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,2.843904,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,2.7911127,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,2.6348767,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,2.4692843,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,2.3362048,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,2.2079923,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,2.0688663,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,1.9051949,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,1.8709164,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,2.1353421,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,2.5510683,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,2.931325,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,3.0921233,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,3.124641,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,3.089988,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,3.0242066,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,2.9163337,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,2.769267,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,2.637267,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,1.8709164,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,2.1343994,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,2.5689137,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,3.0064893,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,3.2704017,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,3.47776,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,3.6021192,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,3.676591,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,3.6608253,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,3.5430603,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,3.3830624,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,1.8709164,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,2.1343305,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,2.571433,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,3.0217488,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,3.3203213,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,3.5979438,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,3.8585253,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,4.079861,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,4.2091146,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,4.2681446,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,4.270901,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,1.8709164,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,2.134266,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,2.5769145,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,3.0677574,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,3.4509182,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,3.7987404,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,4.0892577,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,4.3664117,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,4.622711,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,4.833992,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,5.009074,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,1.8709164,Middle of the Road
SSP2 - 1.9,2010,2.1376672,Middle of the Road
SSP2 - 1.9,2020,2.6230276,Middle of the Road
SSP2 - 1.9,2030,2.9977818,Middle of the Road
SSP2 - 1.9,2040,3.0010462,Middle of the Road
SSP2 - 1.9,2050,2.847006,Middle of the Road
SSP2 - 1.9,2060,2.672744,Middle of the Road
SSP2 - 1.9,2070,2.4877677,Middle of the Road
SSP2 - 1.9,2080,2.281985,Middle of the Road
SSP2 - 1.9,2090,2.072509,Middle of the Road
SSP2 - 1.9,2100,1.8821968,Middle of the Road
SSP2 - 2.6,2005,1.8709164,Middle of the Road
SSP2 - 2.6,2010,2.1378095,Middle of the Road
SSP2 - 2.6,2020,2.619799,Middle of the Road
SSP2 - 2.6,2030,3.0049446,Middle of the Road
SSP2 - 2.6,2040,3.2249427,Middle of the Road
SSP2 - 2.6,2050,3.2495482,Middle of the Road
SSP2 - 2.6,2060,3.1828392,Middle of the Road
SSP2 - 2.6,2070,3.081103,Middle of the Road
SSP2 - 2.6,2080,2.9461453,Middle of the Road
SSP2 - 2.6,2090,2.7929153,Middle of the Road
SSP2 - 2.6,2100,2.6431758,Middle of the Road
SSP2 - 3.4,2005,1.8709164,Middle of the Road
SSP2 - 3.4,2010,2.1376743,Middle of the Road
SSP2 - 3.4,2020,2.6222186,Middle of the Road
SSP2 - 3.4,2030,3.0246096,Middle of the Road
SSP2 - 3.4,2040,3.3576038,Middle of the Road
SSP2 - 3.4,2050,3.5337954,Middle of the Road
SSP2 - 3.4,2060,3.6342478,Middle of the Road
SSP2 - 3.4,2070,3.6735525,Middle of the Road
SSP2 - 3.4,2080,3.6502514,Middle of the Road
SSP2 - 3.4,2090,3.577758,Middle of the Road
SSP2 - 3.4,2100,3.4861026,Middle of the Road
SSP2 - 4.5,2005,1.8709164,Middle of the Road
SSP2 - 4.5,2010,2.1375525,Middle of the Road
SSP2 - 4.5,2020,2.6230197,Middle of the Road
SSP2 - 4.5,2030,3.0146055,Middle of the Road
SSP2 - 4.5,2040,3.3948176,Middle of the Road
SSP2 - 4.5,2050,3.6745157,Middle of the Road
SSP2 - 4.5,2060,3.8911805,Middle of the Road
SSP2 - 4.5,2070,4.0700984,Middle of the Road
SSP2 - 4.5,2080,4.202828,Middle of the Road
SSP2 - 4.5,2090,4.2729583,Middle of the Road
SSP2 - 4.5,2100,4.2806754,Middle of the Road
SSP2 - 6.0,2005,1.8709164,Middle of the Road
SSP2 - 6.0,2010,2.1374989,Middle of the Road
SSP2 - 6.0,2020,2.6230533,Middle of the Road
SSP2 - 6.0,2030,3.0106475,Middle of the Road
SSP2 - 6.0,2040,3.4449837,Middle of the Road
SSP2 - 6.0,2050,3.8438144,Middle of the Road
SSP2 - 6.0,2060,4.217579,Middle of the Road
SSP2 - 6.0,2070,4.579262,Middle of the Road
SSP2 - 6.0,2080,4.892227,Middle of the Road
SSP2 - 6.0,2090,5.188424,Middle of the Road
SSP2 - 6.0,2100,5.488135,Middle of the Road
SSP2 - Baseline,2005,1.8709164,Middle of the Road
SSP2 - Baseline,2010,2.1372714,Middle of the Road
SSP2 - Baseline,2020,2.6219718,Middle of the Road
SSP2 - Baseline,2030,3.0165648,Middle of the Road
SSP2 - Baseline,2040,3.4697123,Middle of the Road
SSP2 - Baseline,2050,3.922371,Middle of the Road
SSP2 - Baseline,2060,4.394603,Middle of the Road
SSP2 - Baseline,2070,4.8974614,Middle of the Road
SSP2 - Baseline,2080,5.4213476,Middle of the Road
SSP2 - Baseline,2090,5.9829974,Middle of the Road
SSP2 - Baseline,2100,6.560877,Middle of the Road
SSP3 - 3.4,2005,1.8709164,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2010,2.1334615,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2020,2.6203804,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2030,3.1442716,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2040,3.5830054,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2050,3.6544032,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2060,3.6702805,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2070,3.671116,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2080,3.6403534,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2090,3.5885718,Regional Rivalry - A Rocky Road
SSP3 - 3.4,2100,3.522411,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2005,1.8709164,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2010,2.1334615,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2020,2.6240625,Regional Rivalry - A Rocky Road
SSP3 - 4.5,2030,3.1650898,Regional Rivalry - A Rocky Road
