years,ssp370,ssp119,ssp126,ssp245,ssp585
2015,388.072795663321,388.072795663321,388.072795663321,388.072795663321,388.072795663322
2020,418.454211983515,358.907754704624,347.49096804304,388.090572662264,397.464394299078
2030,471.330793451007,243.027020440337,285.852108554515,399.446245067783,454.467560029185
2040,515.545705002188,200.612861931378,242.790147758616,382.796746230234,542.29273707973
2050,558.974274240731,170.196861886999,211.108799575225,357.166938784911,590.297639508796
2060,602.31852926391,157.558897231786,190.891541336658,329.321436368543,597.910178870416
2070,647.129405500316,146.459703505756,166.436311844769,316.63903967876,597.128413114236
2080,693.382453027711,132.247397297608,139.312168422122,302.907283507566,568.979040417831
2090,735.323192603251,120.764306098986,130.129686253669,298.816324015873,513.330816601276
2100,777.732192287466,111.721246089592,122.195342902874,295.152936610007,482.145484923179
