years,ssp370,ssp119,ssp126,ssp245,ssp585
2015,100.771166980646,100.771166980646,100.771166980646,100.771166980646,100.771166980646
2020,98.6021579750333,79.5491573123891,80.1316002818539,80.0811064029808,80.1508129012352
2030,99.2215570254239,36.4559021444693,51.7369359728971,78.9334724967046,71.5094897649416
2040,99.5709158344282,23.6225991234323,35.0821621354877,66.5011635350549,71.4739801497555
2050,99.7778506648981,21.6283722520375,26.7306061196927,53.298937497282,60.4420479955465
2060,95.8828959860606,20.6699510898896,22.0402855534684,46.001756598513,63.8657702595733
2070,91.8551654146475,18.4063756285871,17.7482462915824,41.9145059358346,61.3975924217071
2080,87.4031537602506,15.5041315285452,13.2609659898853,38.5057927600297,53.2935330504803
2090,83.6162291403839,12.6219685092827,10.3030567626407,33.1608727818084,41.9350407533419
2100,78.1473781638151,9.46140873326079,8.07034770898434,30.8223938974121,29.5147382926394
