scenario,forcing,p50,p05,p95,,
ssp119,co2,1.084626385,0.772273718,1.603976611,,
ssp119,non_CO2_GHGs,0.40680215,0.288122989,0.634726515,,
ssp119,Aersols_Landuse,-0.166120729,-0.347217021,-0.073804319,,
ssp119,total,1.4,1,1.8,,
ssp126,co2,1.420186919,1.009684693,2.066311112,,
ssp126,non_CO2_GHGs,0.427485115,0.301890979,0.665429438,,
ssp126,Aersols_Landuse,-0.146633967,-0.323507367,-0.060676196,,
ssp126,total,1.8,1.3,2.4,,
ssp245,co2,2.124625212,1.53151448,3.020576057,,
ssp245,non_CO2_GHGs,0.750922688,0.536742738,1.101372169,,
ssp245,Aersols_Landuse,-0.207082177,-0.459683544,-0.078104279,,
ssp245,total,2.7,2.1,3.5,,
ssp370,co2,2.853288291,2.069211337,4.003072985,,
ssp370,non_CO2_GHGs,1.273027732,0.901812703,1.815756229,,
ssp370,Aersols_Landuse,-0.513575102,-1.039852223,-0.209930641,,
ssp370,total,3.6,2.8,4.6,,
ssp585,co2,3.508464712,2.552057092,4.893052485,,
ssp585,non_CO2_GHGs,1.152773751,0.83004537,1.649350579,,
ssp585,Aersols_Landuse,-0.26772837,-0.545999385,-0.11068475,,
ssp585,total,4.4,3.3,5.7,,
observations,,1.06,,,,
