Country,Year,Gini coefficient (before tax) (World Inequality Database)
Afghanistan,2008,0.5245
Afghanistan,2012,0.4927
Afghanistan,2018,0.5154
Albania,1996,0.4659
Albania,2002,0.4799
Albania,2005,0.4731
Albania,2008,0.4707
Albania,2012,0.4665
Albania,2015,0.4925
Albania,2016,0.5049
Albania,2017,0.4978
Albania,2018,0.4913
Albania,2019,0.4826
Albania,2020,0.4823
Albania,2021,0.485
Albania,2022,0.492
Algeria,2006,0.5687
Algeria,2011,0.5185
Algeria,2013,0.5801
Angola,2000,0.6825
Angola,2008,0.6094
Angola,2018,0.6856
Argentina,2001,0.6751
Argentina,2002,0.6839
Argentina,2003,0.6416
Argentina,2004,0.6339
Argentina,2005,0.6136
Argentina,2006,0.5952
Argentina,2007,0.6115
Argentina,2008,0.5714
Argentina,2009,0.5762
Argentina,2010,0.574
Argentina,2011,0.5539
Argentina,2012,0.5417
Argentina,2013,0.549
Argentina,2014,0.5695
Argentina,2017,0.564
Argentina,2018,0.563
Argentina,2019,0.5822
Argentina,2020,0.6113
Argentina,2021,0.5714
Argentina,2022,0.5721
Armenia,1996,0.5884
Armenia,1999,0.5529
Australia,1910,0.6099
Australia,1930,0.4834
Australia,1940,0.497
Australia,1950,0.4879
Australia,1951,0.4321
Australia,1952,0.4287
Australia,1953,0.4263
Australia,1954,0.4239
Australia,1955,0.4219
Australia,1956,0.4234
Australia,1957,0.4094
Australia,1958,0.467
Australia,1959,0.4541
Australia,1960,0.4526
Australia,1961,0.4537
Australia,1962,0.4582
Australia,1963,0.4612
Australia,1964,0.4544
Australia,1965,0.4517
Australia,1966,0.4448
Australia,1967,0.4463
Australia,1968,0.4432
Australia,1969,0.4396
Australia,1970,0.4372
Australia,1971,0.442
Australia,1972,0.437
Australia,1973,0.4301
Australia,1974,0.4223
Australia,1975,0.4173
Australia,1976,0.4131
Australia,1977,0.4134
Australia,1978,0.4123
Australia,1979,0.4159
Australia,1980,0.42
Australia,1981,0.4203
Australia,1982,0.4254
Australia,1983,0.421
Australia,1984,0.4235
Australia,1985,0.4263
Australia,1986,0.434
Australia,1987,0.4483
Australia,1988,0.4605
Australia,1989,0.4425
Australia,1990,0.438
Australia,1991,0.4497
Australia,1992,0.4445
Australia,1993,0.4511
Australia,1994,0.4553
Australia,1995,0.4581
Australia,1996,0.4562
Australia,1997,0.4546
Australia,1998,0.462
Australia,1999,0.465
Australia,2000,0.4677
Australia,2001,0.4607
Australia,2002,0.4751
Australia,2003,0.4701
Australia,2004,0.4745
Australia,2005,0.4813
Australia,2006,0.4823
Australia,2007,0.481
Australia,2008,0.4876
Australia,2009,0.4881
Australia,2010,0.4866
Australia,2011,0.4863
Australia,2012,0.4873
Australia,2013,0.4875
Australia,2014,0.488
Australia,2015,0.4893
Australia,2016,0.483
Australia,2017,0.4875
Australia,2018,0.4798
Australia,2019,0.4817
Australia,2020,0.4819
Australia,2021,0.4921
Australia,2022,0.4923
Austria,2004,0.4241
Austria,2005,0.4204
Austria,2006,0.4278
Austria,2007,0.4277
Austria,2008,0.4281
Austria,2009,0.4192
Austria,2010,0.4294
Austria,2011,0.4272
Austria,2012,0.4214
Austria,2015,0.4167
Austria,2016,0.4275
Austria,2017,0.4182
Azerbaijan,1995,0.5556
Bahrain,1995,0.6585
Bahrain,2005,0.6886
Bahrain,2009,0.5931
Bahrain,2015,0.67
Bangladesh,1820,0.5293
Bangladesh,1850,0.5392
Bangladesh,1880,0.5563
Bangladesh,1900,0.5538
Bangladesh,1910,0.5248
Bangladesh,1920,0.5551
Bangladesh,1930,0.5442
Bangladesh,1940,0.5682
Bangladesh,1950,0.4967
Bangladesh,1960,0.5383
Bangladesh,1970,0.5778
Bangladesh,1983,0.4732
Bangladesh,1985,0.4936
Bangladesh,1988,0.5105
