Entity,Year,Carbon intensity of economy - Region: global,Carbon intensity of economy - Region: global (Annotations)
SSP1 - 1.9,2005,0.57772684,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,0.51837355,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,0.3261671,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,0.11528659,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,0.028736897,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,0.003323143,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,-0.0046310364,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,-0.00986647,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,-0.015502541,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,-0.02013373,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,-0.025363792,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,0.57772684,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,0.5183734,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,0.37705317,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,0.21770857,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,0.11606299,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,0.06087487,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,0.029654961,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,0.011412694,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,-0.0061458186,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,-0.015429024,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,-0.01476389,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,0.57772684,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,0.51837337,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,0.3893206,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,0.25248757,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,0.1677593,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,0.1131037,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,0.07846269,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,0.047254227,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,0.01919016,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,-0.004335193,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,-0.0117007075,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,0.57772684,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,0.51837337,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,0.39149436,Sustainability - Taking the Green Road
