Entity,Year,Economic consumption per capita - Region: global,Economic consumption per capita - Region: global (Annotations)
SSP1 - 1.9,2005,5287.7188,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,5842.846,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,8017.0645,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,11685.99,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,16318.044,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,21221.875,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,26007.328,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,31302.463,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,37003.46,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,43418.785,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,50603.027,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,5287.7188,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,5842.846,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,8017.0645,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,11685.99,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,16318.044,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,21221.875,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,26007.328,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,31302.463,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,37003.46,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,43418.785,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,50603.027,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,5287.7188,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,5842.846,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,8017.0645,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,11685.99,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,16318.044,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,21221.875,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,26007.328,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,31302.463,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,37003.46,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,43418.785,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,50603.027,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,5287.7188,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,5842.846,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,8017.0645,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,11685.99,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,16318.044,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,21221.875,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,26007.328,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,31302.463,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,37003.46,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,43418.785,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,50603.027,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,5287.7188,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,5842.846,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,8017.0645,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,11685.99,Sustainability - Taking the Green Road
