Entity,Year,Population - Region: global,Population - Region: global (Annotations)
SSP1 - 1.9,2005,6530547852,Sustainability - Taking the Green Road
SSP1 - 1.9,2010,6921797852,Sustainability - Taking the Green Road
SSP1 - 1.9,2020,7576104980,Sustainability - Taking the Green Road
SSP1 - 1.9,2030,8061937988,Sustainability - Taking the Green Road
SSP1 - 1.9,2040,8388762694,Sustainability - Taking the Green Road
SSP1 - 1.9,2050,8530500000,Sustainability - Taking the Green Road
SSP1 - 1.9,2060,8492175781,Sustainability - Taking the Green Road
SSP1 - 1.9,2070,8298950194,Sustainability - Taking the Green Road
SSP1 - 1.9,2080,7967387207,Sustainability - Taking the Green Road
SSP1 - 1.9,2090,7510454102,Sustainability - Taking the Green Road
SSP1 - 1.9,2100,6957988770,Sustainability - Taking the Green Road
SSP1 - 2.6,2005,6530547852,Sustainability - Taking the Green Road
SSP1 - 2.6,2010,6921797852,Sustainability - Taking the Green Road
SSP1 - 2.6,2020,7576104980,Sustainability - Taking the Green Road
SSP1 - 2.6,2030,8061937988,Sustainability - Taking the Green Road
SSP1 - 2.6,2040,8388762694,Sustainability - Taking the Green Road
SSP1 - 2.6,2050,8530500000,Sustainability - Taking the Green Road
SSP1 - 2.6,2060,8492175781,Sustainability - Taking the Green Road
SSP1 - 2.6,2070,8298950194,Sustainability - Taking the Green Road
SSP1 - 2.6,2080,7967387207,Sustainability - Taking the Green Road
SSP1 - 2.6,2090,7510454102,Sustainability - Taking the Green Road
SSP1 - 2.6,2100,6957988770,Sustainability - Taking the Green Road
SSP1 - 3.4,2005,6530547852,Sustainability - Taking the Green Road
SSP1 - 3.4,2010,6921797852,Sustainability - Taking the Green Road
SSP1 - 3.4,2020,7576104980,Sustainability - Taking the Green Road
SSP1 - 3.4,2030,8061937988,Sustainability - Taking the Green Road
SSP1 - 3.4,2040,8388762694,Sustainability - Taking the Green Road
SSP1 - 3.4,2050,8530500000,Sustainability - Taking the Green Road
SSP1 - 3.4,2060,8492175781,Sustainability - Taking the Green Road
SSP1 - 3.4,2070,8298950194,Sustainability - Taking the Green Road
SSP1 - 3.4,2080,7967387207,Sustainability - Taking the Green Road
SSP1 - 3.4,2090,7510454102,Sustainability - Taking the Green Road
SSP1 - 3.4,2100,6957988770,Sustainability - Taking the Green Road
SSP1 - 4.5,2005,6530547852,Sustainability - Taking the Green Road
SSP1 - 4.5,2010,6921797852,Sustainability - Taking the Green Road
SSP1 - 4.5,2020,7576104980,Sustainability - Taking the Green Road
SSP1 - 4.5,2030,8061937988,Sustainability - Taking the Green Road
SSP1 - 4.5,2040,8388762694,Sustainability - Taking the Green Road
SSP1 - 4.5,2050,8530500000,Sustainability - Taking the Green Road
SSP1 - 4.5,2060,8492175781,Sustainability - Taking the Green Road
SSP1 - 4.5,2070,8298950194,Sustainability - Taking the Green Road
SSP1 - 4.5,2080,7967387207,Sustainability - Taking the Green Road
SSP1 - 4.5,2090,7510454102,Sustainability - Taking the Green Road
SSP1 - 4.5,2100,6957988770,Sustainability - Taking the Green Road
SSP1 - Baseline,2005,6530547852,Sustainability - Taking the Green Road
SSP1 - Baseline,2010,6921797852,Sustainability - Taking the Green Road
SSP1 - Baseline,2020,7576104980,Sustainability - Taking the Green Road
SSP1 - Baseline,2030,8061937988,Sustainability - Taking the Green Road
SSP1 - Baseline,2040,8388762694,Sustainability - Taking the Green Road
SSP1 - Baseline,2050,8530500000,Sustainability - Taking the Green Road
SSP1 - Baseline,2060,8492175781,Sustainability - Taking the Green Road
SSP1 - Baseline,2070,8298950194,Sustainability - Taking the Green Road
SSP1 - Baseline,2080,7967387207,Sustainability - Taking the Green Road
SSP1 - Baseline,2090,7510454102,Sustainability - Taking the Green Road
SSP1 - Baseline,2100,6957988770,Sustainability - Taking the Green Road
SSP2 - 1.9,2005,6503130000,Middle of the Road
SSP2 - 1.9,2010,6867390000,Middle of the Road
SSP2 - 1.9,2020,7611250000,Middle of the Road
SSP2 - 1.9,2030,8261990000,Middle of the Road
SSP2 - 1.9,2040,8787120000,Middle of the Road
SSP2 - 1.9,2050,9169110000,Middle of the Road
SSP2 - 1.9,2060,9384700000,Middle of the Road
SSP2 - 1.9,2070,9456880000,Middle of the Road
SSP2 - 1.9,2080,9407260000,Middle of the Road
SSP2 - 1.9,2090,9253950000,Middle of the Road
SSP2 - 1.9,2100,9032420000,Middle of the Road
SSP2 - 2.6,2005,6503130000,Middle of the Road
SSP2 - 2.6,2010,6867390000,Middle of the Road
SSP2 - 2.6,2020,7611250000,Middle of the Road
SSP2 - 2.6,2030,8261990000,Middle of the Road
SSP2 - 2.6,2040,8787120000,Middle of the Road
SSP2 - 2.6,2050,9169110000,Middle of the Road
SSP2 - 2.6,2060,9384700000,Middle of the Road
SSP2 - 2.6,2070,9456880000,Middle of the Road
SSP2 - 2.6,2080,9407260000,Middle of the Road
SSP2 - 2.6,2090,9253950000,Middle of the Road
SSP2 - 2.6,2100,9032420000,Middle of the Road
SSP2 - 3.4,2005,6503130000,Middle of the Road
SSP2 - 3.4,2010,6867390000,Middle of the Road
SSP2 - 3.4,2020,7611250000,Middle of the Road
SSP2 - 3.4,2030,8261990000,Middle of the Road
SSP2 - 3.4,2040,8787120000,Middle of the Road
SSP2 - 3.4,2050,9169110000,Middle of the Road
SSP2 - 3.4,2060,9384700000,Middle of the Road
SSP2 - 3.4,2070,9456880000,Middle of the Road
SSP2 - 3.4,2080,9407260000,Middle of the Road
SSP2 - 3.4,2090,9253950000,Middle of the Road
SSP2 - 3.4,2100,9032420000,Middle of the Road
SSP2 - 4.5,2005,6503130000,Middle of the Road
SSP2 - 4.5,2010,6867390000,Middle of the Road
SSP2 - 4.5,2020,7611250000,Middle of the Road
SSP2 - 4.5,2030,8261990000,Middle of the Road
SSP2 - 4.5,2040,8787120000,Middle of the Road
SSP2 - 4.5,2050,9169110000,Middle of the Road
SSP2 - 4.5,2060,9384700000,Middle of the Road
SSP2 - 4.5,2070,9456880000,Middle of the Road
SSP2 - 4.5,2080,9407260000,Middle of the Road
SSP2 - 4.5,2090,9253950000,Middle of the Road
SSP2 - 4.5,2100,9032420000,Middle of the Road
SSP2 - 6.0,2005,6503130000,Middle of the Road
SSP2 - 6.0,2010,6867390000,Middle of the Road
